Failure start time,Failure End Time,Robot,Shift
240886.1942,241036.0076,Package,502
243132.0401,243530.399,Glue,507
246820.6291,246991.7228,Package,515
247298.9213,247455.8404,Assembly,516
249761.1821,249959.304,Glue,521
251205.5922,251562.2605,Package,524
251696.7165,251886.4363,Glue,525
252264.677,252422.6996,Assembly,526
254257.2421,254449.4833,Glue,530
254628.7778,254784.9843,Glue,531
256677.0172,256861.0086,Package,535
258057.6031,258221.5155,Glue,538
258501.6479,258718.0868,Assembly,539
258942.5776,259109.9929,Assembly,540
261906.4986,262046.2003,Package,546
263084.9917,263230.0697,Package,549
264361.045,264547.1315,Package,551
265781.6952,265987.7581,Package,554
267444.2825,267636.2433,Glue,558
270479.6402,270692.9806,Assembly,564
272526.3881,272708.1096,Assembly,568
272890.5295,273065.7776,Glue,569
273485.1331,273680.9576,Glue,570
273765.9545,273885.0956,Package,571
274214.6224,274383.2011,Assembly,572
276333.5527,276464.1358,Glue,576
282450.1677,282674.3797,Package,589
282995.9279,283378.2878,Glue,590
284462.2401,284656.0004,Glue,593
284658.042,284807.875,Package,594
288492.8857,288673.9979,Assembly,602
289662.974,289863.6627,Assembly,604
291488.2135,291600.0042,Glue,608
294376.6949,294634.9135,Assembly,614
295063.5854,295291.0694,Package,615
295293.0669,295439.7764,Assembly,616
295715.0125,295821.442,Glue,617
296247.5918,296436.5946,Assembly,618
297290.089,297465.1465,Package,620
300414.1691,300617.6173,Package,626
302791.5391,302982.9257,Glue,631
304296.0325,304473.2043,Glue,634
304611.1639,304792.1893,Assembly,635
305965.8783,306170.1775,Glue,638
310069.2487,310224.962,Glue,646
310846.4468,310958.9531,Package,648
312820.782,313017.0304,Assembly,652
313165.838,313322.7531,Package,653
313781.8941,313973.898,Assembly,654
314573.5594,314810.6194,Assembly,656
315307.6361,315532.7674,Package,657
316681.2014,316831.5132,Glue,660
318399.0661,318576.9213,Glue,664
319301.7516,319449.1129,Glue,666
320088.6136,320274.9905,Glue,667
320438.3505,320601.2391,Package,668
322366.7685,322584.8839,Package,672
324173.3527,324414.2188,Glue,676
325428.0965,325583.692,Glue,678
326740.0252,326947.3144,Assembly,681
327488.4139,327634.0781,Glue,683
329231.4089,329436.0318,Glue,686
329489.617,329641.0815,Glue,687
330662.7777,330868.5072,Package,689
330871.6242,331062.9627,Glue,690
334582.911,334768.1421,Glue,698
335082.0376,335199.0155,Assembly,699
336434.8297,336599.7216,Package,701
337180.8214,337397.1318,Assembly,703
